The Fool (0),Chivalry
The Magician (1),Coven
The High Priestess (2),Coven
The Empress (3),Coven
The Emperor (4),Chivalry
The Hierophant (5),Coven
The Lovers (6),Chivalry
The Chariot (7),Chivalry
Strength (8),Chivalry
The Hermit (9),Coven
Wheel of Fortune (10),Coven
Justice (11),Chivalry
The Hanged Man (12),Coven
Death (13),Chivalry
Temperance (14),Coven
The Devil (15),Coven
The Tower (16),Chivalry
The Star (17),Coven
The Moon (18),Chivalry
The Sun (19),Coven
Judgment (20),Chivalry
The World (21),Chivalry
Ace of Wands,Coven
Two of Wands,Coven
Three of Wands,Coven
Four of Wands,Coven
Five of Wands,Coven
Six of Wands,Coven
Seven of Wands,Coven
Eight of Wands,Coven
Nine of Wands,Coven
Ten of Wands,Coven
Page of Wands,Coven
Knight of Wands,Coven
Queen of Wands,Coven
King of Wands,Coven
Ace of Cups,Coven
Two of Cups,Coven
Three of Cups,Coven
Four of Cups,Coven
Five of Cups,Coven
Six of Cups,Coven
Seven of Cups,Coven
Eight of Cups,Coven
Nine of Cups,Coven
Ten of Cups,Coven
Page of Cups,Coven
Knight of Cups,Coven
Queen of Cups,Coven
King of Cups,Coven
Ace of Swords,Chivalry
Two of Swords,Chivalry
Three of Swords,Chivalry
Four of Swords,Chivalry
Five of Swords,Chivalry
Six of Swords,Chivalry
Seven of Swords,Chivalry
Eight of Swords,Chivalry
Nine of Swords,Chivalry
Ten of Swords,Chivalry
Page of Swords,Chivalry
Knight of Swords,Chivalry
Queen of Swords,Chivalry
King of Swords,Chivalry
Ace of Coins,Chivalry
Two of Coins,Chivalry
Three of Coins,Chivalry
Four of Coins,Chivalry
Five of Coins,Chivalry
Six of Coins,Chivalry
Seven of Coins,Chivalry
Eight of Coins,Chivalry
Nine of Coins,Chivalry
Ten of Coins,Chivalry
Page of Coins,Chivalry
Knight of Coins,Chivalry
Queen of Coins,Chivalry
King of Coins,Chivalry
